primaryName,birthYear,deathYear,primaryProfession
Ryan Phillippe,1974,\N,"actor,producer,director"
River Phoenix,1970,1993,"actor,soundtrack"
Natalie Portman,1981,\N,"actress,producer,soundtrack"
Parker Posey,1968,\N,"actress,soundtrack,writer"
Keanu Reeves,1964,\N,"actor,producer,soundtrack"
Christina Ricci,1980,\N,"actress,producer,soundtrack"
Molly Ringwald,1968,\N,"actress,soundtrack,music_department"
Tim Robbins,1958,\N,"actor,producer,director"
Julia Roberts,1967,\N,"actress,producer,soundtrack"
Mimi Rogers,1956,\N,"actress,producer,soundtrack"
Meg Ryan,1961,\N,"actress,producer,soundtrack"
Winona Ryder,1971,\N,"actress,producer,soundtrack"
Mia Sara,1967,\N,"actress,soundtrack"
Susan Sarandon,1946,\N,"actress,producer,soundtrack"
Arnold Schwarzenegger,1947,\N,"actor,producer,director"
Martin Scorsese,1942,\N,"producer,director,actor"
Kristin Scott Thomas,1960,\N,"actress,soundtrack,director"
Steven Seagal,1952,\N,"producer,actor,writer"
Joan Severance,1958,\N,"actress,producer"
Charlie Sheen,1965,\N,"actor,producer,soundtrack"
Brooke Shields,1965,\N,"actress,producer,soundtrack"
Elisabeth Shue,1963,\N,"actress,soundtrack,producer"
Alicia Silverstone,1976,\N,"actress,producer,soundtrack"
Christian Slater,1969,\N,"actor,producer,soundtrack"
Will Smith,1968,\N,"music_department,actor,producer"
Mira Sorvino,1967,\N,"actress,producer,soundtrack"
Kevin Spacey,1959,\N,"actor,producer,soundtrack"
Steven Spielberg,1946,\N,"producer,writer,director"
Sylvester Stallone,1946,\N,"actor,writer,producer"
Oliver Stone,1946,\N,"producer,director,writer"
Sharon Stone,1958,\N,"actress,producer,soundtrack"
Quentin Tarantino,1963,\N,"writer,actor,producer"
Charlize Theron,1975,\N,"actress,producer,soundtrack"
Uma Thurman,1970,\N,"actress,soundtrack,writer"
Jennifer Tilly,1958,\N,"actress,soundtrack,writer"
John Travolta,1954,\N,"actor,soundtrack,producer"
Shannon Tweed,1957,\N,"actress,producer,set_decorator"
Liv Tyler,1977,\N,"actress,producer,soundtrack"
Skeet Ulrich,1970,\N,"actor,director,producer"
Jean-Claude Van Damme,1960,\N,"actor,writer,producer"
