primaryName,birthYear,deathYear,primaryProfession
Christopher Kendra,1970,\N,actor
Michael Galbraith,\N,\N,"camera_department,cinematographer"
Roger Neill,1963,\N,"composer,music_department,soundtrack"
Michael Stone,1949,2005,"camera_department,cinematographer"
Janet Zdyb,1975,\N,"assistant_director,miscellaneous"
Mitch Davis,1971,\N,"producer,miscellaneous,director"
Dana MacDuff,1955,\N,"art_department,producer,miscellaneous"
Danica DeCosto,1976,\N,"actress,director,producer"
Yoram Astrakhan,\N,\N,"cinematographer,director,camera_department"
Joshua Tunick,1977,\N,"director,producer,editor"
Sharon 'Mae' West,1953,2006,"miscellaneous,set_decorator"
Leland L. Jones,1963,\N,actor
Amit Khanna,1951,\N,"producer,soundtrack,music_department"
Cort Hessler,1969,\N,"stunts,assistant_director,miscellaneous"
Mark Giambruno,\N,\N,"actor,writer,art_director"
Carl James,\N,\N,"director,actor,writer"
Xavier Koller,1944,\N,"director,writer,miscellaneous"
Malcolm D. Lee,1970,\N,"director,producer,writer"
Paulette Rubinstein,1923,\N,"actress,miscellaneous,writer"
Giancarlo Zagni,1926,2013,"writer,director,assistant_director"
Roger Heman Sr.,1898,1969,"sound_department,assistant_director,miscellaneous"
Bill D'Elia,\N,\N,"producer,writer,director"
Elfriede Gaeng,\N,\N,"writer,director,soundtrack"
David L. Bertman,\N,\N,"editor,editorial_department,director"
Michael Borthwick,\N,\N,"art_department,art_director,production_designer"
Todd Busch,1966,\N,"editorial_department,visual_effects,editor"
Richard Clabaugh,1960,\N,"camera_department,producer,cinematographer"
Jeremy C. Colfer,1975,\N,"production_manager,producer,writer"
Michael Doherty,\N,\N,"editor,producer,production_manager"
Bas Dumoulin,1972,\N,"editor,director,writer"
Alan Farquharson,\N,\N,"production_designer,art_department"
Christopher Fink,\N,\N,"miscellaneous,director,actor"
Arthur K. Flam,\N,\N,"writer,miscellaneous,director"
Charles Gibson,\N,\N,"visual_effects,assistant_director,director"
Robert C. Jones,1937,\N,"editor,writer,actor"
Brian Koppelman,1966,\N,"writer,producer,director"
Vincent Lascoumes,1959,\N,"assistant_director,actor"
Andrew Lowes,1975,\N,"director,writer,sound_department"
Kieron Phipps,\N,\N,"assistant_director,production_manager,actor"
Barry Potter,1978,\N,"director,writer,editor"
Renny Rye,1947,\N,"director,miscellaneous,producer"
Herbert Wright,1947,2005,"producer,miscellaneous,writer"
Eric Yellin,\N,\N,"assistant_director,miscellaneous,actor"
Roger Young,1942,\N,"director,producer,writer"
Ludwig van Beethoven,1770,1827,"soundtrack,music_department,composer"
Juan JosÃ© Campanella,1959,\N,"writer,actor,director"
Matthew J. Clark,\N,\N,"assistant_director,editor,location_management"
Fiona Winning,\N,\N,"assistant_director,location_management,producer"
Kenna Doeringer,\N,\N,"sound_department,editor,editorial_department"
Taz Goldstein,\N,\N,"producer,miscellaneous,writer"
Marc Grossman,\N,\N,"editor,editorial_department,camera_department"
Catherine Ircha,\N,\N,"art_director,art_department"
Robert J. Lyons,\N,\N,"producer,cinematographer,director"
D.A. Metrov,\N,\N,"writer,producer,director"
Tomaz Sarc,1967,\N,"actor,director"
Cliff Lanning,1965,\N,"assistant_director,producer,miscellaneous"
Daniel Geller,\N,\N,"producer,director,cinematographer"
Ben Eberhard,1975,\N,"actor,producer"
Oliver Block,1977,\N,actor
Marc Meisels,1965,\N,"art_department,special_effects,miscellaneous"
Daniel McVicar,1958,\N,"actor,producer,director"
Chris Baugh,\N,\N,"location_management,director,writer"
Rolf Coulanges,1945,\N,"cinematographer,director,editor"
Terra Abroms,\N,\N,"production_manager,editorial_department,producer"
Mark Sanger,1974,\N,"editorial_department,editor,visual_effects"
Lisa L. Pollaro,\N,\N,visual_effects
Michael Nankin,1955,\N,"producer,director,writer"
Robert Cousins,\N,\N,"production_designer,writer,miscellaneous"
Francisco Rojo Villada,1958,\N,"production_manager,transportation_department,actor"
Tim Clague,1973,\N,"writer,director,producer"
Elvira Bolz,\N,\N,"production_manager,producer,writer"
Steven Tyler Sahlein,\N,\N,"production_manager,producer,miscellaneous"
Nellie Adami,\N,\N,"miscellaneous,assistant_director"
Cal Johnson,\N,\N,"stunts,actor,assistant_director"
Kami Turrou,1967,\N,miscellaneous
Jean-Claude Schlim,1963,\N,"producer,production_manager,location_management"
Ernesto Gastaldi,1934,\N,"writer,director,assistant_director"
Derek Bruyere,\N,\N,"camera_department,miscellaneous"
Tov Belling,\N,\N,"camera_department,assistant_director,miscellaneous"
Travis Baumann,1972,\N,visual_effects
James S. Fowler,1971,\N,"assistant_director,director,cinematographer"
Tina Pehme,\N,\N,"producer,miscellaneous,production_manager"
Alan Williams,\N,\N,"composer,music_department,soundtrack"
Larry Lalonde,\N,\N,"producer,writer,miscellaneous"
Larry Lalonde,\N,\N,"music_department,soundtrack,actor"
Blanche Friderici,1878,1933,"actress,soundtrack"
Romy Schneider,1938,1982,"actress,soundtrack"
John Hughes,1882,1954,"art_director,miscellaneous,art_department"
Edward J. Montagne,1885,1932,"writer,miscellaneous"
Jay Jennings,1965,\N,"producer,director,writer"
Norma Maldonado,1962,\N,actress
Ken Lauber,\N,\N,"music_department,composer,soundtrack"
Brendan Kailer Lieb,1967,\N,actor
Johnny Hallyday,1943,2017,"soundtrack,actor,composer"
Larry Mendte,1957,\N,"actor,director,producer"
Scott Wetsel,\N,\N,
Jennifer O'Neil,\N,\N,"miscellaneous,casting_department"
Jennifer O'Neil,\N,\N,miscellaneous
Jessica Wilson,\N,\N,"miscellaneous,assistant_director,director"
Jessica Wilson,1974,\N,actress
Alain Olivieri,1960,\N,"assistant_director,production_manager,miscellaneous"
Frank Simeone,\N,\N,"production_manager,producer,assistant_director"
Henri Aubertin,\N,\N,"costume_department,costume_designer"
Mia Korf,\N,\N,actress
Steve Cohen,\N,2012,"writer,producer"
Matthew M. Meyer,\N,\N,"sound_department,music_department,miscellaneous"
Matt Mayer,\N,\N,"editorial_department,editor,visual_effects"
Mark Hager,\N,\N,"miscellaneous,actor,producer"
Craig Dabrowski,1974,\N,"editorial_department,producer,actor"
Doug Hobart,\N,\N,"actor,make_up_department,special_effects"
Antony Thomas,1940,\N,"director,writer,producer"
Archie Hankins,1962,\N,"art_department,miscellaneous"
Karen Rea,\N,\N,"casting_department,casting_director"
Ofer Inov,\N,\N,"cinematographer,camera_department,director"
Ricardo Franco,1949,1998,"director,writer,actor"
R. Scott Loughran,1964,\N,"art_department,assistant_director,miscellaneous"
Laurie Murdoch,1958,\N,actor
Scott Levy,1971,\N,"actor,producer,sound_department"
Ashley Edner,1989,\N,"actress,miscellaneous"
Nicolas Lartigue,\N,\N,"camera_department,actor,writer"
Michael Klastorin,1957,\N,"miscellaneous,actor,writer"
Joyce Marie Brusasco,\N,\N,"producer,assistant_director"
Mark DeSousa,\N,\N,visual_effects
Bart Schroeven,1975,\N,producer
Ogi Ogas,\N,\N,"director,writer,editor"
Andrea Maxwell,\N,\N,"visual_effects,editor,director"
Brian Capener,\N,\N,"cinematographer,writer"
Bobby Edner,1988,\N,"actor,miscellaneous,soundtrack"
Jeremy Knaster,\N,\N,"camera_department,actor,art_department"
Rick Nathanson,\N,\N,"producer,production_manager,miscellaneous"
Amanda White,\N,\N,"producer,miscellaneous,executive"
Christopher Leone,1971,\N,"director,writer,visual_effects"
Pedro Lazaga,1918,1979,"director,writer,assistant_director"
Miguel Ligero,1890,1968,"actor,writer,assistant_director"
Soledad Miranda,1943,1970,actress
Kristoffer SjÃ¶strÃ¶m,\N,\N,"art_department,production_designer"
Jeffrey R. Gund,\N,\N,"casting_department,music_department,composer"
Thomas Carnegie,\N,\N,"art_department,production_designer,art_director"
R. Orlando Duenas,1960,\N,"editorial_department,editor,visual_effects"
Mark Hosack,1975,\N,"producer,writer,editor"
J.P. Luijsterburg,1967,\N,"editor,editorial_department,sound_department"
Molly Mikula,\N,\N,"art_department,art_director"
Robert Morris,\N,\N,production_designer
Sally Plum,\N,\N,"costume_designer,costume_department"
Michael Reynolds,\N,\N,editorial_department
Mark Sanders,\N,\N,"editor,sound_department,editorial_department"
Chris Seagers,\N,\N,"art_director,production_designer,art_department"
Ricardo SpinacÃ©,\N,\N,"art_department,production_designer,art_director"
John 'J.T.' Tully,1967,\N,"actor,camera_department,miscellaneous"
Alejandro Valadez,\N,\N,"composer,director,writer"
David Webb,\N,\N,"assistant_director,producer,actor"
Brandon L. Wilson,1972,\N,"producer,editor,director"
Adam Bernstein,1960,\N,"director,producer,writer"
Annie Bradley,\N,\N,"director,assistant_director,writer"
Stefan BrÃ¶nneke,1964,\N,"director,actor,miscellaneous"
Jaro Dick,\N,\N,"set_decorator,art_department,actor"
Michael J. Ferrari,\N,\N,"editorial_department,editor,assistant_director"
Reuben Gonzalez,\N,\N,"writer,actor,miscellaneous"
Jamie Kirkpatrick,\N,\N,"editor,editorial_department,director"
Caitlin Blue,\N,\N,"set_decorator,art_department,production_designer"
Steve Rosenzweig,\N,\N,"production_designer,art_department"
Donna Wheeler,\N,\N,"editorial_department,producer,director"
Amy Segal,\N,\N,"production_manager,producer,assistant_director"
Josh Skye,1976,\N,"miscellaneous,assistant_director,art_department"
Sean-Michael Smith,1972,\N,"cinematographer,camera_department,producer"
Stephan Brenninkmeijer,1964,\N,"editor,director,writer"
Linda Vipond,\N,\N,"set_decorator,art_department"
Rick Giovinazzo,\N,\N,"music_department,composer,actor"
Ricardo Olivero,\N,\N,editorial_department
Bernhard Lebourne,\N,\N,"editor,editorial_department,producer"
Chris Petts,\N,\N,"visual_effects,actor"
Jens Schlosser,1954,\N,"cinematographer,camera_department"
Neil Delama,\N,\N,"actor,stunts"
Ken Tipton,1952,\N,"actor,director,writer"
Michael Kearns,1950,\N,"actor,writer"
David McGiffert,\N,\N,"assistant_director,producer,production_manager"
Ned Kopp,\N,\N,"production_manager,assistant_director,producer"
Yves Agostini,\N,\N,"camera_department,cinematographer"
William T. Orr,1917,2002,"producer,actor,writer"
Ernst Winar,1894,1978,"actor,director,editor"
Ken Ziegler,\N,\N,"visual_effects,miscellaneous"
Michael Markowitz,1961,\N,"producer,writer,miscellaneous"
Christopher Covert,\N,\N,"music_department,producer"
Ann Curtis,\N,\N,"costume_department,costume_designer"
Annie Curtis-Jones,\N,\N,"costume_designer,art_department,costume_department"
Mario Gallo,1923,1984,actor
Pierre CourrÃ¨ge,\N,\N,"writer,director,production_manager"
Beatrice Ring,1965,\N,"actress,director,writer"
Kelsa Kinsly,\N,\N,"actress,miscellaneous,stunts"
Gregory Puchalski,\N,\N,"art_department,music_department"
Jennifer Giles,\N,\N,"producer,production_manager,actress"
Freddie Young,1902,1998,"cinematographer,camera_department,director"
Cathie Filian,\N,\N,"producer,actress,writer"
JosÃ© Retra,\N,\N,"composer,actress,music_department"
Ric Sarabia,\N,\N,actor
Astrid Sieben,\N,\N,"art_director,art_department,production_designer"
Lisa Freiberger,\N,\N,"casting_department,casting_director"
Eric Aubin,1971,\N,"camera_department,miscellaneous,cinematographer"
Charles Libin,\N,\N,"camera_department,cinematographer,director"
Brad Arensman,\N,\N,"production_manager,editorial_department,producer"
Andrea V. Rossotto,\N,\N,"cinematographer,camera_department"
FranÃ§ois Audouy,1974,\N,"art_department,production_designer,art_director"
Robert J. Walsh,1947,\N,"composer,music_department,soundtrack"
Alan Myerson,1940,\N,"director,actor,writer"
Stephen Blackehart,1967,\N,"actor,miscellaneous,producer"
Michael Albanese,\N,\N,"miscellaneous,actor,writer"
Walter Halsey Davis,\N,\N,"writer,producer"
Lawrence Jones,\N,\N,"cinematographer,camera_department"
Wally Pfister,1961,\N,"cinematographer,camera_department,director"
Linda Shayne,\N,\N,"actress,writer,director"
Anthony Gasparro,\N,\N,"art_director,production_designer,art_department"
Mohammed Sharafi,1976,\N,actor
Ann E. Todd,1931,\N,"actress,soundtrack"
Ann Todd,1909,1993,"actress,soundtrack"
Burke Moses,1959,\N,actor
Martin Meyer,1956,\N,"camera_department,cinematographer,miscellaneous"
Wayne Massarelli,1949,2012,make_up_department
Muse Watson,1948,\N,"actor,producer,soundtrack"
Andy Thompson,\N,\N,"actor,producer,writer"
David Tucker,\N,\N,"director,editor,producer"
Joseph P. Lucky,1954,\N,"production_designer,art_director,art_department"
Michael Hertlein,\N,\N,"sound_department,actor"
Richard Sobin,\N,\N,"camera_department,cinematographer"
Alexander SkarsgÃ¥rd,1976,\N,"actor,producer,director"
Kelly Granite,1961,\N,"visual_effects,producer,art_department"
Rachela Williams,1967,2001,"actress,writer,producer"
Gianni Lepre,1947,\N,"director,writer"
Jay Holben,\N,\N,"camera_department,producer,director"
Michael K. Bucher,1939,2012,"cinematographer,camera_department,editor"
Chris Jaymes,1973,\N,"actor,director,producer"
Jarrell Jay Knowles,1945,\N,"actor,art_department,set_decorator"
Erwin Hillier,1911,2005,"cinematographer,camera_department"
Ray Brady,1961,\N,"director,producer,writer"
William Dodds,1976,\N,"assistant_director,miscellaneous"
Richard Ferrando,\N,\N,"sound_department,director,writer"
Zachary Gamburg,1975,\N,"miscellaneous,director,actor"
Mike Hansel,\N,\N,director
Tiffany Hillkurtz,1969,\N,"editorial_department,editor,miscellaneous"
Stephen Mark,\N,\N,"editor,editorial_department,writer"
Ezekiel Norton,1970,\N,"director,animation_department,visual_effects"
Ilja Obretenov,\N,\N,"art_department,production_designer,set_decorator"
Isaac Sehayek,\N,\N,"editor,producer,sound_department"
Enrique Chediak,\N,\N,"cinematographer,camera_department,producer"
Michael Hofstein,\N,\N,"camera_department,cinematographer,producer"
Igor Sunara,1955,\N,"cinematographer,camera_department,director"
Mitch Levine,\N,\N,"director,writer,actor"
Julie St. Claire,1970,\N,"actress,director,producer"
Greg Walker,\N,\N,"stunts,actor,assistant_director"
Greg Walker,\N,\N,"producer,writer,miscellaneous"
Brian Berkenfeld,\N,\N,miscellaneous
Normand Corbeil,1956,2013,"composer,music_department,sound_department"
Moe Howard,1897,1975,"actor,soundtrack,writer"
Kristina Anapau,1979,\N,"actress,producer,writer"
Adam McCulloch,\N,\N,"writer,art_department,visual_effects"
Jane Tattersall,\N,\N,"sound_department,editorial_department,music_department"
Mustafa Presheva,1961,\N,"editor,actor,editorial_department"
Ghislain Pensa,\N,\N,"editorial_department,miscellaneous,production_manager"
Kevin Loader,1956,\N,"producer,director,assistant_director"
Verton R. Banks,1977,\N,"actor,producer"
R.H. Davies,\N,\N,miscellaneous
Michael Boisvert,1973,\N,actor
Francesco Marras,1965,\N,"production_manager,location_management,producer"
Jeff Kushner,1965,\N,"sound_department,editor,actor"
Toby Oliver,\N,\N,"cinematographer,camera_department,producer"
Costas Ferris,1935,\N,"director,writer,actor"
Frank Schlegel,1962,\N,"visual_effects,special_effects,art_department"
Robert J. Burke Jr.,\N,\N,"actor,writer"
Alyce Wittenstein,\N,\N,"director,writer,actress"
Rupert Lazarus,\N,\N,"production_designer,art_department,art_director"
Judith Vogelsang,\N,\N,"assistant_director,director,producer"
Kellie Ann Benz,\N,\N,"writer,director,producer"
Joseph Melskens,1960,\N,"production_manager,camera_department,location_management"
Barry Gibb,1946,\N,"soundtrack,actor,composer"
Nadeem Saifi,\N,\N,"composer,soundtrack,music_department"
Stephen Maynard,\N,\N,sound_department
Stephen Maynard,\N,\N,"producer,miscellaneous"
Julio Iglesias,1943,\N,"soundtrack,actor,composer"
Frances Burroughs,\N,\N,"producer,miscellaneous,production_designer"
Alex Corven,\N,\N,"producer,location_management,production_manager"
Luc Chalifour,1961,\N,"director,assistant_director"
John Covert,\N,\N,"producer,actor,director"
Curran G. Engel,1963,2016,"miscellaneous,assistant_director,producer"
Jonathan Figg,1975,\N,"writer,producer,director"
Flip Filippelli,1973,\N,"art_department,art_director,miscellaneous"
DerubÃ_n JÃ¡come,1948,\N,"art_director,production_designer,costume_designer"
Dina Lipton,\N,\N,"production_designer,art_department,art_director"
Ray Melendez,1976,\N,"miscellaneous,camera_department,actor"
ÃÅngel Mena,1975,\N,"producer,director,writer"
Henric Nieminen,\N,\N,"miscellaneous,producer,director"
Lev L. Spiro,\N,\N,"director,sound_department,actor"
Clay Walker,1968,\N,"editor,editorial_department,cinematographer"
Evi Quaid,1963,\N,"producer,director,actress"
Kevin Mukherji,1962,\N,"actor,producer,director"
J. Keith van Straaten,1971,\N,"actor,miscellaneous,producer"
Florian GÃ_rtner,1968,\N,"director,writer,actor"
Lynn Guthrie,1941,\N,"assistant_director,production_manager,producer"
Shirley Walker,1945,2006,"music_department,composer,soundtrack"
Fredrik Agetoft,1971,\N,"writer,miscellaneous"
Victoria Arch,\N,\N,"writer,director,producer"
Stephen Peters,1947,\N,"writer,actor"
Richard Hissong,1947,\N,"cinematographer,camera_department,executive"
Mari Weiss,\N,\N,"actress,miscellaneous"
Howard Young,1967,\N,"miscellaneous,producer,production_manager"
Bram Eisenthal,\N,\N,miscellaneous
Mark Lambert Bristol,1969,\N,"art_department,director,writer"
Andrew Stevens,1955,\N,"actor,producer,director"
Dianah Wynter,1965,\N,"director,miscellaneous,producer"
Jill Robertson,\N,\N,"director,producer,miscellaneous"
Jeff Economy,1965,\N,"camera_department,producer,director"
Aleksandr Lokshin,1920,1987,"composer,actor"
Kevin McCarthy,1914,2010,actor
Dwayne Grady,\N,\N,"art_department,miscellaneous"
Shawn K. Clement,1968,\N,"composer,music_department,soundtrack"
Greg Orrante,1962,\N,"sound_department,producer"
Kenneth Hughes,\N,\N,"actor,producer,director"
Richard S. Wright,1960,\N,"producer,production_manager,assistant_director"
Alon Bar,1966,\N,"writer,producer,assistant_director"
Shelly Lyons,\N,\N,"actress,director,writer"
Sergei Karnet,\N,\N,"production_designer,set_decorator"
Ron Gilbert,\N,\N,"actor,producer,casting_department"
Charlene Amateau,\N,\N,costume_department
Gary Lionelli,\N,\N,"composer,music_department,soundtrack"
Anita Finlay,\N,\N,actress
Velimir Kovacic,1972,\N,cinematographer
Liz Kivowitz,\N,\N,"producer,miscellaneous"
Keith Clark,\N,\N,"editorial_department,producer,editor"
Gary Tuck,\N,\N,"producer,production_manager,camera_department"
Dariusz Wolski,1956,\N,"cinematographer,camera_department,assistant_director"
Michael Creighton Rogers,1963,\N,"music_department,producer,actor"
Jay Nierenberg,1966,\N,"sound_department,actor,editorial_department"
Peter Agnew,1960,\N,"assistant_director,location_management,camera_department"
Shannon Denton,\N,\N,"art_department,producer,writer"
John Gilbert,\N,\N,"editor,producer,writer"
Lori Elberg,1975,\N,"editorial_department,editor,casting_department"
Barbara Haberecht,\N,\N,"set_decorator,art_department,production_designer"
Kathleen Higgins,\N,\N,"miscellaneous,assistant_director,location_management"
Chris McKay,\N,\N,"director,producer,editor"
Lee Rose,\N,\N,"director,producer,writer"
Jesse Ray Boehm,\N,\N,"miscellaneous,writer,director"
Roberto Cimatti,1954,\N,"cinematographer,camera_department,producer"
Michael Halstead,\N,\N,actor
Steven Griffith,\N,\N,actor
NÃ©stor Sanz,1957,\N,"cinematographer,actor,director"
Rodrigo Botero,\N,\N,"actor,writer,producer"
Isabelle BrouÃ©,1968,\N,"director,miscellaneous,writer"
Rosa Maria SardÃ ,1941,\N,"actress,director,soundtrack"
Caroline Thompson,1956,\N,"writer,producer,director"
Bob Ducsay,\N,\N,"editor,producer,sound_department"
Aaron Weintraub,1975,\N,"visual_effects,editor,sound_department"
John Stewart,\N,\N,"cinematographer,editor,director"
Frank Morrone,\N,\N,"sound_department,music_department,producer"
Dave Fallon,\N,\N,sound_department
Egidio Tari,1968,\N,actor
Daniel E. Teaze,\N,\N,"camera_department,visual_effects"
Alan Ari Lazar,1967,\N,"composer,music_department,soundtrack"
Rick Sander,1970,\N,"visual_effects,miscellaneous,producer"
John Johns,1963,\N,"camera_department,visual_effects,miscellaneous"
Karl Heinz Knippenberg,\N,\N,"production_manager,producer,writer"
Alexander Gradet,1976,\N,"writer,producer,actor"
Michael Jordan,1963,\N,"actor,soundtrack"
Brian Ash,1974,\N,"producer,writer,miscellaneous"
Andrew Parke,\N,\N,"camera_department,cinematographer,actor"
Marc Simard,\N,\N,"art_department,production_manager,camera_department"
Suze Randall,1946,\N,"director,producer,actress"
Peter Thomas,1925,\N,"composer,music_department,soundtrack"
Gerhard Schedel,1955,\N,"composer,visual_effects,art_department"
Richard E. Doherty,1965,\N,"director,actor,sound_department"
Filippo Fassetta,\N,\N,"assistant_director,miscellaneous"
Beauchamp Fontaine,1965,\N,"set_decorator,art_department,production_designer"
Ben Howard,\N,\N,"assistant_director,miscellaneous,actor"
Sherard Jayasuriya,1966,\N,"assistant_director,art_department,actor"
Stacey Kalkowski,\N,\N,"assistant_director,miscellaneous"
Keith Putnam,1978,\N,"camera_department,editor,cinematographer"
Elizabeth Shelton,\N,\N,"costume_department,costume_designer"
Joe Zimmerman,1963,\N,"miscellaneous,actor,stunts"
Mason Alan Dinehart,1936,\N,actor
Alan Dinehart,1918,1992,"actor,miscellaneous,producer"
Alan Dinehart,1889,1944,"actor,miscellaneous"
David Tarleton,1971,\N,"producer,director,editor"
Lew Brown,1925,2014,actor
Steven T Puri,\N,\N,"visual_effects,miscellaneous,producer"
Gregg Vance,\N,\N,"actor,producer,director"
Sebastian RochÃ©,1964,\N,"actor,writer"
Ron Rapiel,\N,\N,"assistant_director,producer,miscellaneous"
James DuMont,1965,\N,"actor,producer"
Michael R. Joyce,\N,\N,"producer,production_manager,assistant_director"
John Michael Weatherly,1980,\N,actor
Byron A. Martin,1963,\N,"producer,production_manager,location_management"
Arno,1949,\N,"soundtrack,composer,actor"
Brian McNulty,\N,\N,"producer,production_manager,miscellaneous"
Casey Brown,1956,\N,"miscellaneous,actress,producer"
Peter Weyrauch,\N,\N,"camera_department,cinematographer,producer"
Jess Bowers,\N,\N,"music_department,editor"
Roger Cross,1969,\N,actor
Laura J. DeRosa,\N,\N,"art_department,miscellaneous"
Rachel Talalay,1958,\N,"director,producer,miscellaneous"
Doug Metzger,\N,\N,"assistant_director,producer,stunts"
Bailey Chase,1972,\N,actor
Richard Potter,\N,\N,"producer,writer,production_manager"
Gregor Narholz,1971,\N,"soundtrack,composer,music_department"
Alan Roberts,\N,2016,"editor,producer,director"
Kristen Couchot,\N,\N,"costume_designer,costume_department,actress"
Simon Downes,\N,\N,"assistant_director,miscellaneous,animation_department"
Chris Noonan,1952,\N,"writer,director,producer"
Carlos Ebert,1946,\N,"cinematographer,camera_department,director"
Graham Shirley,\N,\N,"miscellaneous,director,writer"
Molly Allen,\N,\N,"location_management,producer,production_manager"
Michael Gaspar,\N,\N,"special_effects,stunts,miscellaneous"
Stuart McDonald,1970,\N,sound_department
Martin FaltÃ_n,1957,\N,"actor,assistant_director,director"
Michael Yaroshevsky,1969,\N,"producer,director,writer"
Jennifer Harris,1992,\N,actress
Jonathan Price,\N,\N,"composer,music_department,soundtrack"
Susanne Schiebler,1979,\N,"editor,editorial_department,visual_effects"
Jan Richter-Friis,\N,\N,"cinematographer,camera_department,miscellaneous"
Guy Bodart,\N,\N,"director,producer,writer"
Tom Brown,1962,\N,"production_designer,art_director,art_department"
Job ter Burg,1972,\N,"editor,editorial_department,actor"
Nicolas Debot,1973,\N,"director,actor,editor"
Fabian,1943,\N,"actor,soundtrack,producer"
Richard Gironi,1976,\N,"assistant_director,miscellaneous,actor"
Lin MacDonald,\N,\N,"set_decorator,art_department"
Bethan Mowat,\N,\N,assistant_director
B. Scott O'Malley,1971,\N,"miscellaneous,writer,director"
Edward Peghin,1966,\N,"producer,director,writer"
Cesar Romero,1907,1994,"actor,soundtrack"
Isabelle Stamper,1969,\N,"set_decorator,art_department,art_director"
Roy Unger,\N,\N,"camera_department,cinematographer,assistant_director"
Derth Adams,\N,\N,"camera_department,cinematographer"
Emmy Smith,\N,\N,"actress,producer"
Christine Lakin,1979,\N,"actress,miscellaneous,producer"
Anthony C. Ferrante,\N,\N,"director,writer,producer"
Ken Wheat,1950,\N,"writer,producer,director"
Riccardo Bertoni,1933,2003,"casting_department,actor,casting_director"
Steve Cubine,\N,\N,"producer,production_manager,casting_department"
Jayson Clute,\N,\N,camera_department
David Quinn,\N,\N,"producer,actor"
Doyle Smith,\N,\N,"camera_department,cinematographer,miscellaneous"
Dolores del Rio,1904,1983,"actress,soundtrack"
Pedro de Cordoba,1881,1950,actor
Katrina Elder,1972,\N,"miscellaneous,actress,writer"
Dan Appel,\N,\N,"producer,director,art_department"
Ken Pisani,1964,\N,"producer,writer,director"
David Jablin,\N,\N,"producer,director,writer"
John J. Condne III,\N,\N,"producer,actor,editorial_department"
Bernie Abramson,1923,2010,"camera_department,cinematographer,miscellaneous"
Jon Kroll,\N,\N,"producer,writer,director"
Andre Morgan,\N,\N,"producer,actor,miscellaneous"
Jean-Christophe Bouvet,1947,\N,"actor,writer,assistant_director"
Gregory Poppen,1963,\N,"writer,producer,director"
Victoria Barkoff,\N,\N,actress
Matthew Williams,\N,\N,"cinematographer,camera_department,assistant_director"
Daniel J. Lester,\N,\N,"costume_department,costume_designer"
Nicholas Josef von Sternberg,1951,\N,"cinematographer,camera_department,actor"
Ingo Frenzel,1966,\N,"composer,music_department,soundtrack"
David Klein,1972,\N,"cinematographer,camera_department,actor"
Alan Bennett,1934,\N,"writer,actor,producer"
Peter Menne,1960,\N,"production_designer,art_department,art_director"
Laura Rosow,\N,\N,"editor,editorial_department,actress"
Walter Coblenz,\N,\N,"miscellaneous,production_manager,producer"
Paul Barry,\N,\N,"assistant_director,location_management,producer"
Adam Bernardi,1957,\N,"editor,editorial_department,producer"
Andrew Deskin,\N,\N,"production_designer,art_department,art_director"
Amy E. Duddleston,1965,\N,"editor,editorial_department,transportation_department"
Scott Andrew Hutchins,1976,\N,"director,actor,writer"
Michael Katleman,1960,\N,"producer,director,assistant_director"
Melissa Kent,\N,\N,"editor,editorial_department,director"
Sean McGinly,\N,\N,"writer,director,producer"
Randy Moore,\N,\N,"art_director,art_department,actor"
Juan Carlos Negrete,\N,\N,editor
J. Robinson Wheeler,1970,\N,"sound_department,art_department,camera_department"
C.J. Young,\N,\N,"cinematographer,director,writer"
E Kurt Zimmerman,1977,\N,"director,writer,producer"
Joseph Tartaglia,1968,\N,"director,actor,writer"
Luciano Fineschi,1925,2006,"actor,composer,music_department"
Christopher McQuarrie,1968,\N,"writer,producer,director"
Sara Barrett,1973,\N,"actress,producer,soundtrack"
Marc Summers,1951,\N,"producer,actor,director"
Tucker Gates,\N,\N,"director,producer,miscellaneous"
John Brownlow,\N,\N,"producer,writer,director"
Corrado Farina,1939,2016,"director,writer,actor"
Kevin Williams,\N,\N,"director,writer,producer"
Jace Alexander,1964,\N,"director,producer,actor"
Jay Fortune,1955,\N,camera_department
Jordan Foster,1964,\N,actor
Georg Haentzschel,1907,1992,"composer,music_department,actor"
Peter Wunstorf,1959,\N,"cinematographer,camera_department,director"
Arron Wayne Cull,\N,\N,actor
Jonathan Block,\N,\N,"visual_effects,animation_department,miscellaneous"
Darren Brisker,\N,\N,sound_department
Bob Greene,\N,\N,camera_department
Michel Parry,1947,2014,"writer,director"
Maxime Laboy,1963,\N,"editorial_department,sound_department"
Andy Picheta,\N,\N,"producer,location_management,director"
Jon Kull,\N,\N,"music_department,soundtrack,composer"
David S. Cass Sr.,\N,\N,"actor,stunts,director"
Thomas G. Philpott,\N,\N,"producer,editorial_department,miscellaneous"
Athena Massey,1967,\N,actress
Richard Sharkey,\N,\N,"producer,location_management,production_manager"
Pat Sito,\N,\N,"animation_department,art_department,visual_effects"
Eric Kaye,1970,\N,"composer,music_department,actor"
Jordan Alan,1967,\N,"director,writer,producer"
Ryan Chan,\N,\N,"editorial_department,editor,producer"
Natasha Gjurokovic,\N,\N,"editor,editorial_department"
Morgan Lewington,\N,\N,"assistant_director,transportation_department,miscellaneous"
Mark Neale,\N,\N,"editorial_department,editor"
Danny Rafic,\N,\N,"editor,editorial_department,visual_effects"
Sandy Struth,\N,\N,set_decorator
